	LL23	LL12	SM	ST
0	0.153752793	2.87998E-07	0.572973981	0
1	0	0.507365795	0.321601445	0.228364745
2	0.169368761	2.070148927	0.46507064	0.511448029
3	0	0.14383238	0.782227022	0.782227022
4	0.132587102	0	2.080518462	0.706475699
5	0.040767301	0	0.072978042	0.63167604
6	0.071093445	0.152287362	0.133397774	0.372704646
7	0.042524237	0.17788806	0.127321696	0.601486034
8	0.314343002	0	5.590444368	4.638564042
9	0.224597514	0	0	0
10	0.566093468	1.172985438	0.346057077	0.71210283
11	0.659576125	0.545674763	0.71684484	2.136303177
12	0.351203281	0.515572328	0.043248984	1.163637604
13	0.733770291	0.515572328	1.789577821	0.891645701
14	0.255601297	0.592787321	0.395779236	0.288535997
15	3.145292734	0.807961102	0	0.115037771
16	0.307883591	0.336025393	0	0.85142185
17	0.87965569	0.353809838	0.443854572	0.64345737
18	0.917174232	1.346657629	0.192631393	0
19	0.047071679	0.874283486	0.323955163	0.546017034
20	1.413362109	1.001610869	0.026387545	0.071167876
21	0.12382899	4.226268303	0.459337117	0.078222567
22	1.155752248	3.361807625	0	0.045501773
23	0.717675528	0.602851436	0.040026631	0.043274674
